ID$           |TYPE$      |NAME$         |TEXTURE$ |ANIM@ |

ring_1        |ring 	  |ring          |uf_items |155   |
ring_2        |ring 	  |ring          |uf_items |156   |
ring_3        |ring 	  |ring          |uf_items |157   |
ring_4        |ring 	  |ring          |uf_items |158   |
ring_5        |ring 	  |ring          |uf_items |159   |
ring_6        |ring 	  |ring          |uf_items |160   |
ring_7        |ring 	  |ring          |uf_items |161   |
ring_8        |ring 	  |ring          |uf_items |162   |
ring_9        |ring 	  |ring          |uf_items |163   |
ring_10       |ring 	  |ring          |uf_items |164   |
ring_11       |ring 	  |ring          |uf_items |165   |
ring_12       |ring 	  |ring          |uf_items |166   |

